2026-01-17 13:24:40.235 - INFO - ============================================================
2026-01-17 13:24:40.235 - INFO - 开始KMERIA完整分析流程|Starting KMERIA complete analysis pipeline
2026-01-17 13:24:40.235 - INFO - ============================================================
2026-01-17 13:24:40.235 - INFO - ============================================================
2026-01-17 13:24:40.235 - INFO - 执行步骤|Executing step: COUNT
2026-01-17 13:24:40.235 - INFO - ============================================================
2026-01-17 13:24:40.235 - INFO - 开始k-mer计数|Starting k-mer counting
2026-01-17 13:24:40.235 - INFO - 样本数量|Sample count: 181
2026-01-17 13:24:41.454 - INFO - 跳过样本|Skip sample: WK018A (输出文件已存在|output file exists: output/01_kmer_counts/WK018A_k31.bin, 19322.28M)
2026-01-17 13:24:41.454 - INFO - 跳过样本|Skip sample: WK38A (输出文件已存在|output file exists: output/01_kmer_counts/WK38A_k31.bin, 21109.14M)
2026-01-17 13:24:41.454 - INFO - 跳过样本|Skip sample: WK002A (输出文件已存在|output file exists: output/01_kmer_counts/WK002A_k31.bin, 20461.85M)
2026-01-17 13:24:41.454 - INFO - 处理批次|Processing batch 37/46: 4 个样本|samples
2026-01-17 13:24:41.455 - INFO - 跳过样本|Skip sample: WK003A (输出文件已存在|output file exists: output/01_kmer_counts/WK003A_k31.bin, 20663.06M)
2026-01-17 13:24:41.455 - INFO - 跳过样本|Skip sample: WK42A (输出文件已存在|output file exists: output/01_kmer_counts/WK42A_k31.bin, 9101.57M)
2026-01-17 13:24:41.455 - INFO - 跳过样本|Skip sample: WJ45A (输出文件已存在|output file exists: output/01_kmer_counts/WJ45A_k31.bin, 19045.57M)
2026-01-17 13:24:41.455 - INFO - 跳过样本|Skip sample: WK057A (输出文件已存在|output file exists: output/01_kmer_counts/WK057A_k31.bin, 19603.08M)
2026-01-17 13:24:41.455 - INFO - 处理批次|Processing batch 38/46: 4 个样本|samples
2026-01-17 13:24:41.455 - INFO - 跳过样本|Skip sample: WK084-2A (输出文件已存在|output file exists: output/01_kmer_counts/WK084-2A_k31.bin, 20956.66M)
2026-01-17 13:24:41.456 - INFO - 跳过样本|Skip sample: WK084-1A (输出文件已存在|output file exists: output/01_kmer_counts/WK084-1A_k31.bin, 18180.38M)
2026-01-17 13:24:41.456 - INFO - 跳过样本|Skip sample: SDW073-2A (输出文件已存在|output file exists: output/01_kmer_counts/SDW073-2A_k31.bin, 15582.56M)
2026-01-17 13:24:41.456 - INFO - 跳过样本|Skip sample: GDW87A (输出文件已存在|output file exists: output/01_kmer_counts/GDW87A_k31.bin, 17721.68M)
2026-01-17 13:24:41.456 - INFO - 处理批次|Processing batch 39/46: 4 个样本|samples
2026-01-17 13:24:41.456 - INFO - 跳过样本|Skip sample: DB65A (输出文件已存在|output file exists: output/01_kmer_counts/DB65A_k31.bin, 20049.47M)
2026-01-17 13:24:41.456 - INFO - 跳过样本|Skip sample: DB103A (输出文件已存在|output file exists: output/01_kmer_counts/DB103A_k31.bin, 20754.18M)
2026-01-17 13:24:41.457 - INFO - 跳过样本|Skip sample: DB45A (输出文件已存在|output file exists: output/01_kmer_counts/DB45A_k31.bin, 18349.35M)
2026-01-17 13:24:41.457 - INFO - 跳过样本|Skip sample: DB27A (输出文件已存在|output file exists: output/01_kmer_counts/DB27A_k31.bin, 20367.07M)
2026-01-17 13:24:41.457 - INFO - 处理批次|Processing batch 40/46: 4 个样本|samples
2026-01-17 13:24:41.457 - INFO - 跳过样本|Skip sample: DB61A (输出文件已存在|output file exists: output/01_kmer_counts/DB61A_k31.bin, 19418.27M)
2026-01-17 13:24:41.457 - INFO - 跳过样本|Skip sample: DB95A (输出文件已存在|output file exists: output/01_kmer_counts/DB95A_k31.bin, 20138.68M)
2026-01-17 13:24:41.457 - INFO - 跳过样本|Skip sample: DB97A (输出文件已存在|output file exists: output/01_kmer_counts/DB97A_k31.bin, 18373.84M)
2026-01-17 13:24:41.458 - INFO - 跳过样本|Skip sample: DB41A (输出文件已存在|output file exists: output/01_kmer_counts/DB41A_k31.bin, 18251.10M)
2026-01-17 13:24:41.458 - INFO - 处理批次|Processing batch 41/46: 4 个样本|samples
2026-01-17 13:24:41.458 - INFO - 跳过样本|Skip sample: DB40A (输出文件已存在|output file exists: output/01_kmer_counts/DB40A_k31.bin, 24661.49M)
2026-01-17 13:24:41.458 - INFO - 跳过样本|Skip sample: DB104A (输出文件已存在|output file exists: output/01_kmer_counts/DB104A_k31.bin, 15415.24M)
2026-01-17 13:24:41.458 - INFO - 跳过样本|Skip sample: DB93A (输出文件已存在|output file exists: output/01_kmer_counts/DB93A_k31.bin, 27480.26M)
2026-01-17 13:24:41.458 - INFO - 跳过样本|Skip sample: DB107A (输出文件已存在|output file exists: output/01_kmer_counts/DB107A_k31.bin, 19848.36M)
2026-01-17 13:24:41.458 - INFO - 处理批次|Processing batch 42/46: 4 个样本|samples
2026-01-17 13:24:41.459 - INFO - 跳过样本|Skip sample: DB30A (输出文件已存在|output file exists: output/01_kmer_counts/DB30A_k31.bin, 19506.42M)
2026-01-17 13:24:41.459 - INFO - 跳过样本|Skip sample: WJ51A (输出文件已存在|output file exists: output/01_kmer_counts/WJ51A_k31.bin, 20285.73M)
2026-01-17 13:24:41.459 - INFO - 跳过样本|Skip sample: DB57A (输出文件已存在|output file exists: output/01_kmer_counts/DB57A_k31.bin, 20933.24M)
2026-01-17 13:24:41.459 - INFO - 跳过样本|Skip sample: DB67A (输出文件已存在|output file exists: output/01_kmer_counts/DB67A_k31.bin, 21240.66M)
2026-01-17 13:24:41.459 - INFO - 处理批次|Processing batch 43/46: 4 个样本|samples
2026-01-17 13:24:41.459 - INFO - 跳过样本|Skip sample: DB75A (输出文件已存在|output file exists: output/01_kmer_counts/DB75A_k31.bin, 26325.32M)
2026-01-17 13:24:41.460 - INFO - 跳过样本|Skip sample: DB79A (输出文件已存在|output file exists: output/01_kmer_counts/DB79A_k31.bin, 19592.54M)
2026-01-17 13:24:41.460 - INFO - 跳过样本|Skip sample: DB76A (输出文件已存在|output file exists: output/01_kmer_counts/DB76A_k31.bin, 18283.86M)
2026-01-17 13:24:41.460 - INFO - 跳过样本|Skip sample: DB68A (输出文件已存在|output file exists: output/01_kmer_counts/DB68A_k31.bin, 20809.42M)
2026-01-17 13:24:41.460 - INFO - 处理批次|Processing batch 44/46: 4 个样本|samples
2026-01-17 13:24:41.460 - INFO - 跳过样本|Skip sample: DB74A (输出文件已存在|output file exists: output/01_kmer_counts/DB74A_k31.bin, 17512.36M)
2026-01-17 13:24:41.460 - INFO - 跳过样本|Skip sample: DB72A (输出文件已存在|output file exists: output/01_kmer_counts/DB72A_k31.bin, 20703.71M)
2026-01-17 13:24:41.461 - INFO - 跳过样本|Skip sample: DB22A (输出文件已存在|output file exists: output/01_kmer_counts/DB22A_k31.bin, 19651.40M)
2026-01-17 13:24:41.461 - INFO - 跳过样本|Skip sample: DB53A (输出文件已存在|output file exists: output/01_kmer_counts/DB53A_k31.bin, 20005.93M)
2026-01-17 13:24:41.461 - INFO - 处理批次|Processing batch 45/46: 4 个样本|samples
2026-01-17 13:24:41.461 - INFO - 跳过样本|Skip sample: DB63A (输出文件已存在|output file exists: output/01_kmer_counts/DB63A_k31.bin, 16526.70M)
2026-01-17 13:24:41.461 - INFO - 跳过样本|Skip sample: DB106A (输出文件已存在|output file exists: output/01_kmer_counts/DB106A_k31.bin, 20765.53M)
2026-01-17 13:24:41.461 - INFO - 跳过样本|Skip sample: DB102A (输出文件已存在|output file exists: output/01_kmer_counts/DB102A_k31.bin, 20541.09M)
2026-01-17 13:24:41.462 - INFO - 跳过样本|Skip sample: DB89A (输出文件已存在|output file exists: output/01_kmer_counts/DB89A_k31.bin, 18798.38M)
2026-01-17 13:24:41.462 - INFO - 处理批次|Processing batch 46/46: 1 个样本|samples
2026-01-17 13:24:41.462 - INFO - 跳过样本|Skip sample: DB8A (输出文件已存在|output file exists: output/01_kmer_counts/DB8A_k31.bin, 21334.13M)
2026-01-17 13:24:41.462 - INFO - k-mer计数完成|K-mer counting completed
2026-01-17 13:24:41.462 - INFO - 成功|Success: 181/181
2026-01-17 13:24:41.462 - INFO - 步骤count完成|Step count completed
2026-01-17 13:24:41.462 - INFO - ============================================================
2026-01-17 13:24:41.462 - INFO - 执行步骤|Executing step: KCTM
2026-01-17 13:24:41.462 - INFO - ============================================================
2026-01-17 13:24:42.789 - INFO - 跳过矩阵构建|Skip matrix construction (输出文件已存在|output files exist: 7473 files, 1954867.47M)
2026-01-17 13:24:42.789 - INFO - 步骤kctm完成|Step kctm completed
2026-01-17 13:24:42.789 - INFO - ============================================================
2026-01-17 13:24:42.789 - INFO - 执行步骤|Executing step: FILTER
2026-01-17 13:24:42.789 - INFO - ============================================================
2026-01-17 13:24:44.127 - INFO - 跳过矩阵过滤|Skip matrix filtering (输出文件已存在|output files exist: 7474 files, 30947.97M)
2026-01-17 13:24:44.127 - INFO - 步骤filter完成|Step filter completed
2026-01-17 13:24:44.127 - INFO - ============================================================
2026-01-17 13:24:44.127 - INFO - 执行步骤|Executing step: M2B
2026-01-17 13:24:44.127 - INFO - ============================================================
2026-01-17 13:24:45.466 - INFO - 跳过格式转换|Skip format conversion (输出文件已存在|output files exist: 7473 files, 8612.29M)
2026-01-17 13:24:45.467 - INFO - 步骤m2b完成|Step m2b completed
2026-01-17 13:24:45.467 - INFO - ============================================================
2026-01-17 13:24:45.467 - INFO - 执行步骤|Executing step: ASSO
2026-01-17 13:24:45.467 - INFO - ============================================================
2026-01-17 13:24:45.467 - INFO - 开始k-mer关联分析|Starting k-mer association analysis
2026-01-17 13:24:48.666 - INFO - 跳过关联分析|Skip association analysis (输出文件已存在|output files exist: 14946 files, 3731.39M)
2026-01-17 13:24:48.666 - INFO - 步骤asso完成|Step asso completed
2026-01-17 13:24:48.666 - INFO - 
2026-01-17 13:24:48.666 - INFO - ============================================================
2026-01-17 13:24:48.666 - INFO - 执行质控统计|Executing QC statistics
2026-01-17 13:24:48.666 - INFO - ============================================================
2026-01-17 13:24:48.666 - INFO - 开始质控统计|Starting QC statistics
2026-01-17 13:24:48.682 - INFO - k-mer文件数|K-mer file count: 181
2026-01-17 13:24:48.682 - INFO - 总大小|Total size: 2897853.52M bytes
2026-01-17 13:24:48.771 - INFO - QC报告已保存|QC report saved: output/06_qc_reports/qc_report.json
2026-01-17 13:24:48.771 - INFO - 
2026-01-17 13:24:48.771 - INFO - ============================================================
2026-01-17 13:24:48.771 - INFO - 执行Post-GWAS分析|Executing Post-GWAS analysis
2026-01-17 13:24:48.771 - INFO - ============================================================
2026-01-17 13:24:48.771 - INFO - 开始Post-GWAS分析|Starting Post-GWAS analysis
2026-01-17 13:24:48.796 - INFO - 找到|Found 7473 个关联结果文件|association result files
2026-01-17 13:24:48.807 - INFO - 输出目录|Output directory: output/07_post_gwas_bwa
2026-01-17 13:24:48.807 - INFO - 比对工具|Alignment tool: bwa
2026-01-17 13:24:48.807 - INFO - 合并|Merging 7473 个关联结果文件|association result files
2026-01-17 13:26:57.799 - INFO - 合并完成|Merge completed
2026-01-17 13:27:05.235 - INFO - 总k-mer数|Total k-mers: 77.37M
2026-01-17 13:27:05.235 - INFO - 阈值设置|Threshold settings:
2026-01-17 13:27:05.235 - INFO -   严格阈值|Strict threshold: 1e-05
2026-01-17 13:27:05.235 - INFO -   Bonferroni校正阈值|Bonferroni threshold: 6.462301633512173e-10
2026-01-17 13:27:05.235 - INFO - 创建所有k-mer的FASTA文件|Creating FASTA file for all k-mers
2026-01-17 13:28:47.487 - INFO - 创建了|Created 77.37M 个k-mer记录|k-mer records
2026-01-17 13:28:47.487 - INFO - k-mer映射文件|K-mer mapping file: output/07_post_gwas_bwa/all_kmers.mapping.txt
2026-01-17 13:28:47.487 - INFO - 使用BWA进行k-mer比对|Using BWA for k-mer alignment
2026-01-17 13:28:47.487 - INFO - BWA参数|BWA parameters: -k 9 -T 10 -a
2026-01-17 13:28:47.487 - INFO - 智能过滤阈值|Smart filtering threshold: AS_ratio = 0.95
2026-01-17 13:28:47.487 - INFO - 运行BWA比对|Running BWA alignment
2026-01-17 13:28:47.487 - INFO - 这可能需要较长时间...|This may take a while...
2026-01-17 13:28:47.488 - INFO - 创建BWA索引|Creating BWA index for /share/org/YZWL/yzwl_lixg/project/21.野生大豆群体/05.所有样品/19.第一批369个有表型的样品去冗余做kmer-GWAS-分级作为表型/genome.fa
2026-01-17 13:28:47.488 - INFO - 这可能需要几分钟...|This may take a few minutes...
2026-01-17 13:28:47.488 - INFO - 创建BWA索引|Creating BWA index|创建BWA索引|Creating BWA index
2026-01-17 13:42:08.947 - INFO - BWA索引创建完成|BWA index created: /share/org/YZWL/yzwl_lixg/project/21.野生大豆群体/05.所有样品/19.第一批369个有表型的样品去冗余做kmer-GWAS-分级作为表型/genome
2026-01-17 13:42:08.947 - ERROR - 执行出错|Execution error: CommandRunner.run_command() got an unexpected keyword argument 'output_file'
2026-01-17 13:42:08.992 - ERROR - Traceback (most recent call last):
  File "/share/org/YZWL/yzwl_lixg/software/biopytools/biopytools/kmeria/main.py", line 80, in run
    return self._run_pipeline(logger)
  File "/share/org/YZWL/yzwl_lixg/software/biopytools/biopytools/kmeria/main.py", line 111, in _run_pipeline
    return processor.run()
  File "/share/org/YZWL/yzwl_lixg/software/biopytools/biopytools/kmeria/processors/pipeline.py", line 77, in run
    self._run_post_gwas()
  File "/share/org/YZWL/yzwl_lixg/software/biopytools/biopytools/kmeria/processors/pipeline.py", line 200, in _run_post_gwas
    return post_gwas_processor.run()
  File "/share/org/YZWL/yzwl_lixg/software/biopytools/biopytools/kmeria/processors/post_gwas.py", line 89, in run
    if not self._run_bwa_alignment(kmer_fasta, alignment_result):
  File "/share/org/YZWL/yzwl_lixg/software/biopytools/biopytools/kmeria/processors/post_gwas.py", line 350, in _run_bwa_alignment
    success, _ = self.cmd_runner.run_command(
TypeError: CommandRunner.run_command() got an unexpected keyword argument 'output_file'

